config_name	use_duration	use_turns	use_victory_status	moves_n	best_accuracy	best_f1_macro
duration_withturn_novstatus_all_moves	True	True	False	None	0.8149068322981367	0.5924985442271246
duration_withturn_novstatus_1_moves	True	True	False	1	0.8074534161490683	0.5884500720537186
duration_withturn_novstatus_2_moves	True	True	False	2	0.810351966873706	0.5902260108409075
duration_withturn_novstatus_3_moves	True	True	False	3	0.8128364389233954	0.5913101217992832
duration_withturn_novstatus_4_moves	True	True	False	4	0.8066252587991718	0.5869148393696979
duration_withturn_novstatus_5_moves	True	True	False	5	0.8053830227743272	0.5860228362704292
duration_withturn_novstatus_6_moves	True	True	False	6	0.8053830227743272	0.5831478563984375
duration_withturn_novstatus_7_moves	True	True	False	7	0.8053830227743272	0.5865653827398105
duration_noturn_novstatus_all_moves	True	False	False	None	0.5942028985507246	0.41514955444220125
duration_noturn_novstatus_1_moves	True	False	False	1	0.6041407867494824	0.4098703338794225
duration_noturn_novstatus_2_moves	True	False	False	2	0.6053830227743271	0.40910304868775066
duration_noturn_novstatus_3_moves	True	False	False	3	0.5908902691511387	0.41324004987444346
duration_noturn_novstatus_4_moves	True	False	False	4	0.6037267080745342	0.4161209838958715
duration_noturn_novstatus_5_moves	True	False	False	5	0.5971014492753624	0.4112683033696447
duration_noturn_novstatus_6_moves	True	False	False	6	0.5942028985507246	0.4151777701870514
duration_noturn_novstatus_7_moves	True	False	False	7	0.6053830227743271	0.40710670396735266
noduration_withturn_novstatus_all_moves	False	True	False	None	0.832968476357268	0.5985934321211818
noduration_withturn_novstatus_1_moves	False	True	False	1	0.8327495621716288	0.5911042374436785
noduration_withturn_novstatus_2_moves	False	True	False	2	0.8375656742556917	0.5995321521922014
noduration_withturn_novstatus_3_moves	False	True	False	3	0.8340630472854641	0.5967968151794416
noduration_withturn_novstatus_4_moves	False	True	False	4	0.8312171628721541	0.5949411122370248
noduration_withturn_novstatus_5_moves	False	True	False	5	0.8309982486865148	0.5923939828122801
noduration_withturn_novstatus_6_moves	False	True	False	6	0.8309982486865148	0.5920708042664068
noduration_withturn_novstatus_7_moves	False	True	False	7	0.8316549912434326	0.5928509136055181
noduration_noturn_novstatus_all_moves	False	False	False	None	0.6317863397548161	0.4295716085903978
noduration_noturn_novstatus_1_moves	False	False	False	1	0.6346322241681261	0.43137356926870524
noduration_noturn_novstatus_2_moves	False	False	False	2	0.6339754816112084	0.43084764436238787
noduration_noturn_novstatus_3_moves	False	False	False	3	0.6330998248686515	0.43047525599758546
noduration_noturn_novstatus_4_moves	False	False	False	4	0.6320052539404554	0.4296069156873785
noduration_noturn_novstatus_5_moves	False	False	False	5	0.6339754816112084	0.4309076974603634
noduration_noturn_novstatus_6_moves	False	False	False	6	0.6330998248686515	0.4301271890244205
noduration_noturn_novstatus_7_moves	False	False	False	7	0.6330998248686515	0.4304455620775547
